Name,hd,RA,DEC,Vmag,eVmag,PlxFlag,Teff,eTeff,Logg,eLogg,Vt,eVt,[Fe/H],e[Fe/H],Reference,Link,SWFlag,Update,Comment,Database,gaia_dr2,gaia_dr3,Plx,ePlx,Gmag,eGmag,RPmag,eRPmag,BPmag,eBPmag,FG,eFG,G_flux_std_n,Logg_gaia,eLogg_gaia,Mass_t,eMass_t,Radius_t,eRadius_t,spec_base,Distance,RA_EU,DEC_EU,RA_NASA,DEC_NASA,Distance_b,eDistance_b
Kepler-286,,19 22 42.28,+48 17 39.44,,,GAIAeDR3,5559.0,60.0,4.46,0.1,,,-0.25,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2129503716608032256,2129503716608032256,0.7948,0.047,15.5389,0.0028,14.9854,0.0041,15.9018,0.0035,11470.0,6.138999999999999,0.0101875,4.457268783540304,0.053987467653355,0.8527612548922443,0.0145564404922264,0.9572636182438758,0.031361301817911,,1258.17815802718,290.676145,48.294289,290.6761874,48.2942362,1233.89954,74.38501000000021
Kepler-287,,19 23 42.59,+48 26 36.78,,,GAIAeDR3,5546.0,60.0,4.49,0.1,,,0.12,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2129509381668153984,2129509381668153984,1.2209,0.0168,14.7325,0.0028,14.1803,0.004,15.1206,0.0031,24100.0,5.843,0.0045496,4.533313625091863,0.0285934423880811,0.9136603518031892,0.0143832104200474,0.8977616794501054,0.0294119346574985,,819.06790072897,290.927458,48.44355,290.92742819999995,48.4434588,801.178711,9.287108999999989
Kepler-288,,19 15 39.94,+39 35 40.97,,,GAIAeDR3,5697.0,60.0,4.36,0.1,,,-0.24,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2101215309651322880,2101215309651322880,0.8622,0.0206,15.14,0.0028,14.5778,0.0039,15.5295,0.0035,16560.0,4.5680000000000005,0.0053715,4.440856578617673,0.031445046510929,0.8905965050063765,0.0129174505834646,1.0379775622778626,0.0340056040890111,,1159.82370679657,288.916426,39.594717,288.9163997,39.5947523,1127.94104,26.64783000000012
Kepler-289,,19 49 51.68,+42 52 58.26,,,GAIAeDR3,6154.0,77.0,4.56,0.09,1.18,0.09,0.14,0.06,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",2078515170549178880,2078515170549178880,1.3763,0.0129,13.9521,0.0028,13.44,0.0039,14.2985,0.0032,49440.0,14.82,0.0058975,4.5978400111366415,0.0326855611666965,1.0932489563459222,0.0272201932085156,0.9017562359767384,0.0295428019447043,Kepler-289_SOPHIE_HE_2020,726.5857734505562,297.465344,42.88285,297.4653351,42.8828517,711.575012,8.827514999999947
Kepler-29,,19 53 23.59,+47 29 28.41,15.5,,GAIAeDR3,5378.0,60.0,4.64,0.1,,,-0.44,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2086435189017387264,2086435189017387264,1.1276,0.0229,15.2709,0.0028,14.7093,0.004,15.6669,0.0034,14680.0,4.1530000000000005,0.0051639,4.537700800278695,0.0312033714543964,0.7724473388011446,0.0095993213121873,0.8195493257603101,0.0268495880027133,,886.8393047179849,298.3483240000001,47.491226,298.348382,47.4913021,875.265381,16.188416000000075
Kepler-290,,19 05 38.39,+42 40 53.59,,,GAIAeDR3,4962.0,60.0,4.71,0.1,,,-0.1,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2105538623730974848,2105538623730974848,1.4169999999999998,0.0237,15.5512,0.0028,14.8856,0.0041,16.0588,0.0043,11340.0,3.326,0.005559,4.660221592191401,0.035213717694534,0.7356026326945185,0.0095186777366833,0.6600946706891305,0.0216256293473826,,705.716302046577,286.409984,42.681553,286.4100307,42.6815137,692.8955080000003,12.110717999999904
Kepler-291,,19 11 39.92,+42 26 14.29,,,GAIAeDR3,5637.0,60.0,4.23,0.1,,,0.23,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2102509125599126144,2102509125599126144,0.5411,0.0285,15.8889,0.0028,15.3225,0.0045,16.2793,0.004,8306.0,2.9160000000000004,0.0065501,4.375607489783448,0.0472005949299925,1.010824583886264,0.0201817501337004,1.022014404721124,0.0334826286070619,,1848.08722971724,287.916357,42.437302,287.91630289999995,42.4372666,1787.3139600000006,92.37867000000006
Kepler-292,,19 43 03.87,+42 25 27.43,,,GAIAeDR3,5248.0,60.0,4.45,0.1,,,0.04,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2077140987172577408,2077140987172577408,0.9199,0.0286,15.9289,0.0028,15.2917,0.0042,16.4082,0.0035,8006.0,2.806,0.0070801999999999,4.61006275603554,0.0414194890110196,0.8147674189743555,0.0127505335059635,0.7657213921066925,0.0250861092269895,,1087.07468203066,295.766145,42.424288,295.7661979,42.42428220000001,1057.29138,36.66712000000007
Kepler-293,,19 05 25.94,+42 24 23.43,,,GAIAeDR3,5482.0,60.0,4.53,0.1,,,0.1,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2105506119417943168,2105506119417943168,1.0177,0.0209,15.3214,0.0028,14.7568,0.0041,15.7236,0.0037,14010.0,3.572,0.0051119999999999,4.5755689289026655,0.0329287498412921,0.8854189492312083,0.0142843521109717,0.8442873897566148,0.0276600417550475,,982.6078412105728,286.358057,42.406509,286.3580611,42.4064917,959.194275,20.43334999999991
Kepler-294,,19 09 34.08,+46 03 33.52,,,GAIAeDR3,5513.0,60.0,4.54,0.1,,,0.11,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2130315224909221120,2130315224909221120,0.7278,0.0254,15.806,0.0028,15.2503,0.0041,16.2009,0.0041,8965.0,3.057,0.0067601,4.511326598190409,0.0358898411665011,0.9067448579539056,0.0145912957070002,0.8937751408943955,0.0292813300502914,,1374.00384721077,287.392009,46.059312,287.3920392,46.0592578,1324.94873,38.86230999999998
