EPIC 211939692,,08 33 36.45,+19 19 12.83,11.53,0.14,GAIAeDR3,6417.0,96.0,,,,,,,Dholakia S. et al. 2019,https://ui.adsabs.harvard.edu/abs/2019arXiv191204287D,0,2020-01-15,,EU,662807053996973440,662807053996973440,2.4197,0.0169,11.7112,0.0028,11.3026,0.0038,11.9625,0.0029,389500.0,82.15,0.0036958,4.3188590684601005,0.041380266535678,1.239139607341096,0.0710867794530066,1.2107307115888923,0.0396652401101491,,413.274372856139,128.401884,19.320186,,,405.23877000000016,3.3748770000000263
HD 184601,,19 31 44.57,+60 51 51.07,8.0,,GAIAeDR3,6035.0,50.0,4.17,0.04,1.11,0.09,-0.69,0.03,Dalal et al. 2021,https://arxiv.org/pdf/2105.09741.pdf,1,2022-03-11,,EU,2239262804148935680,-1,12.9637,0.1083,8.128352,0.002765,7.680197,0.003816,8.395395,0.002814,10559000.0,2212.7,0.003824035,4.114010591368205,0.0193329641620588,0.9772587895430876,0.0097321484411791,1.5614592854934144,0.0511556012319516,HD184601_SOPHIE_2020,77.13847126977637,292.937500015,60.864166695,,,,
HD 205521,205521.0,21 26 59.00,+01 44 33.00,8.0,,GAIAeDR3,5570.0,36.0,4.2,0.07,0.9,0.05,0.36,0.03,Dalal et al. 2021,https://arxiv.org/pdf/2105.09741.pdf,1,2022-03-11,,EU,2297894128558108288,-1,20.6491,0.3812,7.869677,0.002761,7.321997,0.003801,8.248707,0.002912,13399000.0,2131.6,0.0030765866,4.296843012039411,0.0209645538101271,1.0553786590745824,0.0121202558849998,1.2420315580735088,0.0406906998425069,HD205521_SOPHIE_2020,48.42826079587004,321.745833353,1.742500022,,,,
2MASS J19114836+4224474,,19 11 48.36,+42 24 47.49,,,GAIADR3,5461.0,153.0,,,,,-0.26,0.31,Stassun et al. 2019,https://doi.org/10.3847/1538-3881/ab346,0,2022-09-19,,EU,2102508850721224192,2102508850721224192,1.5956,0.0157,14.343347,0.002789,13.753943,0.004111,14.766808,0.003347,34483.0,13.648,0.0076746386,4.513767370928117,0.0728673861506443,0.8248971432265704,0.0571414530084301,0.8900752176790744,0.0291601153645483,,626.7234895963901,287.95151,42.413189,,,617.232544,5.9700319999999465
HIP 104045,200633,21 04 44.14,-04 49 44.02,8.34,0.01,GAIADR3,5826.0,3.0,4.41,0.01,,,0.05,0.0,Ferreira et al. 2023,https://doi.org/10.48550/arXiv.2303.01358,0,2023-03-13,,EU,6912226598456403456,6912226598456403456,18.5912,0.0305,8.191801,0.002765,7.70605,0.003796,8.504407,0.002808,9959200.0,2070.4,0.0033777833,4.401325526721157,0.0020352346329973,1.0092808516567722,0.0014268491560869,1.0738124333209975,0.0351796048396626,,53.788889367012345,316.18332602,-4.82975968,,,53.6879997,0.0890045000000014
EPIC 203868608 (AB),,16 17 18.98,-24 37 18.73,,,GAIADR3,,,,,,,,,Wang et al. 2018,https://arxiv.org/abs/1809.01689,0,2023-09-11,M5V,EU,6049656638390048896,6049656638390048896,6.2781,0.1732,15.625704,0.003289,14.20411,0.004122,17.918865,0.010013,10584.0,17.51,0.034106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,159.28385976648983,244.329166673,-24.621944461,,,,
HD 85512,85512,09 51 07.05,-43 30 10.02,7.65,,GAIAeDR3,4718.0,126.0,4.08,0.61,0.94,0.23,-0.4,0.05,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,NASA,5412947081287925504,5412947081295024896,88.6737,0.0173,7.1964,0.0028,6.4058,0.0038,7.8637,0.0028,24910000.0,3413.0,0.0030078,4.734438285279073,0.0778087161316607,0.6669457720750379,0.0226354151438959,0.5387871171296762,0.0176514233632989,HD85512_HARPSS_115000_378_691_2020,11.2773009359032,147.7791667,-43.5027778,147.7821226,-43.5048162,11.2765732,0.0022230000000007
K2-256,,12 24 54.51,-02 03 57.38,14.94,0.01,GAIAeDR3,5219.0,157.0,4.58,0.02,,,-0.1,0.17,Livingston et al. 2018,https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract,0,2020-02-20,,NASA,3693923185982895360,3693923185982895360,1.5333,0.039,14.6862,0.0028,14.0944,0.0039,15.1071,0.0032,25140.0,5.364,0.0044996,4.532224570138031,0.0796131514158593,0.7974892207632999,0.0343985228184297,0.8531106022622406,0.0279491026000633,,652.188091045457,186.227158,-2.065931,186.2270991,-2.0660477,635.78302,16.94830300000001
K2-399,,10 32 17.63,+02 14 16.24,12.48,,GAIADR3,5690.0,38.0,3.96,0.06,,,0.25,0.04,Christiansen et al. 2022,https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract,0,2022-09-20,,NASA,3855957797955377408,3855957797955377408,1.6259,0.0775,12.307743,0.00277,11.80654,0.003805,12.644296,0.00288,224830.0,58.543,0.0036454299,3.9812709135484847,0.0357553282749333,1.2586007315450445,0.0313743709817727,1.9062658491790443,0.0624519489740496,,615.0439756442586,,,158.0734448,2.2378452,611.228394,30.089293999999995

