# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
Gl 581 d,0.019,,,,,,66.64,0.08,0.08,0.22,,,0.205,0.08,0.08,0.035427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2014-08-30,2.0,23.0,23.0,245141.6407,4.19,4.19,Controversial,,,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0,,
Gl 581 f,0.023,,,,,,433.0,13.0,13.0,0.758,0.015,0.015,,,,0.122061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010,2014-04-18,,,,,,,Controversial,,,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0,,
Gl 581 g,0.01,,,,,,36.652,0.052,0.052,0.14601,0.00014,0.00014,,,,0.023512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010,2014-04-18,,,,,,,Controversial,,,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0,,
Gliese 22 B b,16.0,,,,,,5500.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2008-02-02,,,,,,,Controversial,,,,,Gliese 22 B,8.1125,67.2358333,10.38,,,,,10.0,,,,M2.5V,,,,
Gliese 876 f,0.025,0.001,0.001,,,,10.01,0.02,0.02,,,,0.09,0.046,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014,2014-04-01,88.0,10.5,10.5,,,,Controversial,,,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0,,
Gliese 876 g,0.118,0.002,0.002,,,,15.04,0.04,0.04,,,,0.007,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014,2014-04-01,78.3,10.3,10.3,,,,Controversial,,,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0,,
HAT-P-13 d,0.016,,,,,,4.37,,,0.056,,,0.0,,,0.000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-05-25,,,,,,,Controversial,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.0,0.43,1.22,1.56,G4,5.0,5638.0,,
HAT-P-31 c,3.4,nan,inf,,,,1000.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-06-08,,,,,,,Controversial,,,,,HAT-P-31,271.5375,26.4266667,11.66,,,,,354.0,0.15,1.218,1.36,,3.17,6065.0,,
HD 100546 b,60.0,20.0,40.0,,,,,,,6.5,inf,inf,,,,0.062863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005,2013-06-19,,,,,,,Controversial,,,,,HD 100546,173.3541667,-70.1947222,6.7,,,,,103.4,,,,B9Vne,0.01,,,
HD 10180 b,0.00424755,,,,,,1.17768,0.0001,0.0001,0.02225,0.00035,0.00035,0.0,,,0.000565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-01-31,,,,,,,Controversial,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,0.08,1.06,,G1V,4.3,5911.0,,
HD 10180 i,0.006,0.0057,0.005,,,,9.655,0.072,0.072,0.0904,0.0047,0.0047,0.05,0.05,0.05,0.002294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-04-06,137.0,,,,,,Controversial,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,0.08,1.06,,G1V,4.3,5911.0,,
HD 10180 j,0.016,0.01,0.0186,,,,67.55,0.88,0.88,0.33,0.016,0.016,0.07,0.07,0.07,0.008376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-04-06,91.0,,,,,,Controversial,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,0.08,1.06,,G1V,4.3,5911.0,,
HD 104304 b,83.0,,,,,,17715.0,,,10.4,,,0.29,,,0.806202,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2010-05-05,,,,,,,Controversial,,,,,HD 104304,180.1833333,-10.4461111,5.54,,4.56,4.07,4.03,12.9,,,,G9,,,,
HD 107094 b,4.5,,,,,,1870.0,34.0,34.0,2.76,,,0.13,0.02,0.02,0.050457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-10,46.0,3.0,3.0,2454765.0,29.0,29.0,Controversial,,,,,HD 107094,184.7333333,-45.8816667,9.15,,,,,54.7,,,,G5V,,,,
HD 111031 b,2.87,,,,,,5986.0,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-10-06,,,,,,,Controversial,,,,,HD 111031,191.6291667,-11.8125,6.87,,5.74,5.41,5.33,30.0,,,,G5,,,,
HD 1160 b,33.0,9.0,12.0,,,,,,,80.0,0.0,0.0,,,,0.772947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2012-04-14,,,,,,,Controversial,,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,-0.3,,,A0V,0.05,,,
HD 131664 b,18.15,0.35,0.35,,,,1951.0,41.0,41.0,3.17,0.03,0.03,0.638,0.02,0.02,0.057189,167.1,18.2,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2014-08-27,149.7,1.0,1.0,2452060.0,41.0,41.0,Controversial,,,,,HD 131664,225.025,-73.5352778,8.13,,,,,55.43,0.32,1.1,1.16,G3V,2.4,5886.0,,
HD 136118 b,42.0,18.0,11.0,,,,1209.0,24.0,24.0,1.45,0.25,0.25,0.352,0.006,0.006,0.027725,163.1,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2002,2010-05-01,316.4,0.6,0.6,2450610.5,3.7,3.7,Controversial,,,,,HD 136118,229.7291667,-1.5922222,6.94,,,,,52.3,-0.065,1.24,1.74,F9 V,4.26,6095.0,,
HD 142 d,0.3,0.15,0.15,,,,108.4,0.7,0.7,0.47,0.2,0.2,0.12,0.12,0.12,0.022816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-05-15,270.0,270.0,270.0,,,,Controversial,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180.0,,
HD 1461 d,0.3,0.3,3.0,,,,5000.0,5000.0,5000.0,5.0,5.0,5.0,0.16,0.29,0.29,0.213675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-12-15,326.0,79.0,79.0,2450366.936,,,Controversial,,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.19,1.08,1.095,G0V,6.3,5765.0,,
HD 1461 e,0.072,0.03,0.03,,,,454.0,4.0,4.0,1.165,0.008,0.008,0.74,0.13,0.13,0.049786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2011-09-12,87.0,28.0,28.0,2450366.936,,,Controversial,,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.19,1.08,1.095,G0V,6.3,5765.0,,
HD 149382 b,15.5,7.5,7.5,,,,2.391,0.002,0.002,0.0256,0.0026,0.0026,0.0,,,0.000346,39.0,13.0,13.0,,,,,,,,,,,,,2453932.20689,,,,,,,,,,,,,1,2009,2011-10-10,,,,,,,Controversial,,,,,HD 149382,248.5958333,-4.0144444,8.95,,,,,74.0,,0.41,,B5 D,,35500.0,,
HD 156846 b,10.45,0.05,0.05,,,,359.5546,0.0071,0.0071,1.096,0.021,0.021,0.84785,0.0005,0.0005,0.022367,177.3,175.3,175.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2011-03-28,51.62,0.16,0.16,3998.09,0.05,0.05,Controversial,,,,,HD 156846,260.1416667,-19.3336111,6.51,,,,,49.0,0.22,1.43,,G0V,2.1,6138.0,,
HD 16760 b,280.0,40.0,40.0,,,,465.1,2.3,2.3,1.13,0.03,0.03,0.067,0.1,0.1,0.0226,2.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2011-09-28,128.0,10.0,10.0,2454723.0,12.0,12.0,Controversial,,,,,HD 16760,40.5875,38.6186111,8.74,,,,,50.0,-0.02,0.88,,G5V,,5620.0,,
HD 167677 b,1.36,0.12,0.12,,,,1814.0,100.0,100.0,2.9,0.12,0.12,0.17,0.07,0.07,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-20,-80.0,24.0,24.0,55656.0,123.0,123.0,Controversial,,,,,HD 167677,274.2083333,-11.4058333,7.9,,,,,34.8,-0.29,0.96,1.7,G5V,11.0,5474.0,,
HD 17028 b,,,,,,,,,,1.8,,,,,,0.002338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2010,2010-11-17,,,,,,,Controversial,,,,,HD 17028,41.4291667,48.9583333,,,,,,770.0,,1.5,,K0,,,,
HD 17156 c,0.063,0.007,0.007,,,,111.314,3.0,3.0,0.481,0.001,0.001,0.136,0.005,0.005,0.006148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2008,2008-04-28,,,,,,,Controversial,,,,,HD 17156,42.4333333,71.7533333,8.17,,,,,78.24,0.24,1.275,1.508,G0,3.38,6079.0,,
HD 180777 b,25.0,,,,,,28.44,,,0.22,,,0.2,0.01,0.01,0.008059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2011-08-10,56.0,4.0,4.0,2453244.3,0.3,0.3,Controversial,,,,,HD 180777,287.2916667,76.5605556,5.11,,,,,27.3,,1.7,,A9V,,7250.0,,
HD 188753A b,1.14,0.1,0.1,,,,3.3481,0.0009,0.0009,0.0446,0.001,0.001,0.0,,,0.000995,,,,,,,,,,,,,,,,3146.81,0.05,0.05,,,,,,,,,,,1,2005,2007-02-22,,,,,,,Controversial,,,,,HD 188753A,298.7416667,41.8713889,7.43,,,,,44.82,,1.06,,K0,,,,
